_id;Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;Tagged;Lemma
1586;choice;Wahl, hier: Auswahl;passiv;3/B4;II;s;;;[('choice', 'NN')];['choice']
1587;meaning;Bedeutung;passiv;3/B5;II;s;;;[('meaning', 'NN')];['meaning']
1588;similar;ähnlich;aktiv;3/B5;II;a;Tom and Greg are brothers. They look *similar*.;;[('similar', 'JJ')];['similar']
1589;dictionary;Wörterbuch;aktiv;3/B5;II;s;Look the word up in a *dictionary*!;;[('dictionary', 'JJ')];['dictionary']
1590;search;Suche, hier: Suchaufgabe;passiv;3/B6;II;s;;;[('search', 'NN')];['search']
1591;to hop on;schnell einsteigen;passiv;3/B7;II;ph;;;[('to', 'TO'), ('hop', 'VB'), ('on', 'IN')];['to', 'hop', 'on']
1592;to hop off;schnell aussteigen;passiv;3/B7;II;ph;;;[('to', 'TO'), ('hop', 'VB'), ('off', 'RP')];['to', 'hop', 'off']
1593;ever;jemals;aktiv;3/B7;II;av;;;[('ever', 'RB')];['ever']
1594;double-decker;Doppeldecker;passiv;3/B7;II;s;;;[('double-decker', 'NN')];['double-decker']
1595;all over the place;überall;passiv;3/B7;II;ph;;;[('all', 'DT'), ('over', 'IN'), ('the', 'DT'), ('place', 'NN')];['all', 'over', 'the', 'place']
1596;battleship;Schlachtschiff;passiv;3/B7;II;s;;;[('battleship', 'NN')];['battleship']
1597;not that high on my list;nicht so weit oben auf meiner Liste;passiv;3/B7;II;ph;;;[('not', 'RB'), ('that', 'DT'), ('high', 'JJ'), ('on', 'IN'), ('my', 'PRP$'), ('list', 'NN')];['not', 'that', 'high', 'on', 'my', 'list']
1598;anyway;sowieso, jedenfalls, hier: ohnehin;aktiv;3/B7;II;av;The teacher explained the task to us again but we knew it *anyway*.;;[('anyway', 'RB')];['anyway']
1599;to book;reservieren, buchen;aktiv;3/B7;II;v;We should *book* the hotel soon.;;[('to', 'TO'), ('book', 'NN')];['to', 'book']
1600;even if;selbst wenn;passiv;3/B7;II;ph;;;[('even', 'RB'), ('if', 'IN')];['even', 'if']
1601;to admit;zugeben;aktiv;3/B7;II;v;Helen did not want to *admit* her mistake.;;[('to', 'TO'), ('admit', 'VB')];['to', 'admit']
1602;the real thing;das Echte, das Wahre;passiv;3/B7;II;ph;;;[('the', 'DT'), ('real', 'JJ'), ('thing', 'NN')];['the', 'real', 'thing']
1603;phone call (= telephone call);Anruf, Telefongespräch;aktiv;3/B7;II;s;Anna has just called. – What was the *phone call* about?;;[('phone', 'NN'), ('call', 'NN'), ('(', '('), ('=', 'VB'), ('telephone', 'NN'), ('call', 'NN'), (')', ')')];['phone', 'call', '(', '=', 'telephone', 'call', ')']
1604;right (informal);also;passiv;3/B7;II;i;;;[('right', 'RB'), ('(', '('), ('informal', 'JJ'), (')', ')')];['right', '(', 'informal', ')']
1605;like this;so, auf diese Weise;passiv;3/B8;II;ph;;;[('like', 'IN'), ('this', 'DT')];['like', 'this']
1606;winner;Gewinner/in, Sieger/in;aktiv;3/B9;II;s;No. 19 is the *winner*.;ID 4754616;[('winner', 'NN')];['winner']
1607;queen;Königin;aktiv;3/B9;II;s;;;[('queen', 'NN')];['queen']
1608;to go on a trip;einen Ausflug/eine Reise machen;aktiv;3/B9;II;ph;The weather is great. Let’s *go on a trip* to the seaside!;;[('to', 'TO'), ('go', 'VB'), ('on', 'IN'), ('a', 'DT'), ('trip', 'NN')];['to', 'go', 'on', 'a', 'trip']
1609;step;Schritt, hier: (Treppen)stufe;aktiv;3/B9;II;s;;;[('step', 'NN')];['step']
1610;inside;innen, drinnen;passiv;3/B9;II;av;It was very warm *inside* the house.;;[('inside', 'IN')];['inside']
1611;squirrel;Eichhörnchen;passiv;3/B9;II;s;;;[('squirrel', 'NN')];['squirrel']
1612;to lose one's way;sich verirren;aktiv;3/C1;II;ph;I don’t know where I am. I*'ve lost my way*.;;"[('to', 'TO'), ('lose', 'VB'), ('one', 'CD'), (""'s"", 'POS'), ('way', 'NN')]";"['to', 'lose', 'one', ""'s"", 'way']"
1613;to lose sight of;aus den Augen verlieren;passiv;3/C1;II;ph;;;[('to', 'TO'), ('lose', 'VB'), ('sight', 'NN'), ('of', 'IN')];['to', 'lose', 'sight', 'of']
1614;frightened;verängstigt;aktiv;3/C1;II;a;William was very *frightened* when he lost his way.;;[('frightened', 'VBN')];['frightened']
1615;well organized;gut organisiert;passiv;3/C2;II;av;;;[('well', 'RB'), ('organized', 'VBN')];['well', 'organized']
1616;only;nur, hier: erst;aktiv;3/C2;II;av;It’s *only* 3 o’clock and I’m already hungry!;;[('only', 'RB')];['only']
1617;to lose;verlieren, hier: aus den Augen verlieren;aktiv;3/C2;II;irr;;;[('to', 'TO'), ('lose', 'VB')];['to', 'lose']
1618;Tube;hier: die (Londoner) U-Bahn;passiv;3/C2;II;s;;;[('Tube', 'NN')];['Tube']
1619;full;voll, hier: überfüllt;aktiv;3/C2;II;a;The Tube is usually very *full*.;;[('full', 'JJ')];['full']
1620;to get off;aussteigen;aktiv;3/C2;II;irr;Let’s *get off* the train at Baker Street.;;[('to', 'TO'), ('get', 'VB'), ('off', 'RP')];['to', 'get', 'off']
1621;not ... anymore;nicht mehr;aktiv;3/C2;II;ph;I *don’t* talk to him *anymore*.;;[('not', 'RB'), ('...', ':'), ('anymore', 'RB')];['not', '...', 'anymore']
1622;station;Bahnhof, Haltestelle, Station;aktiv;3/C2;II;s;Baker Street is one of the biggest Underground *stations* in London.;;[('station', 'NN')];['station']
1623;to get lost;sich verirren, sich verlaufen;aktiv;3/C2;II;ph;to *get lost* = to lose one’s way;;[('to', 'TO'), ('get', 'VB'), ('lost', 'VBN')];['to', 'get', 'lost']
1624;bathroom;Bad(ezimmer);aktiv;3/C2;II;s;;;[('bathroom', 'NN')];['bathroom']
1625;here;hierher;passiv;3/C2;II;av;;;[('here', 'RB')];['here']
1626;dead;tot;aktiv;3/C2;II;a;;;[('dead', 'JJ')];['dead']
1627;to charge;aufladen;passiv;3/C2;II;v;;;[('to', 'TO'), ('charge', 'VB')];['to', 'charge']
1628;that's why;deshalb, darum, deswegen;aktiv;3/C2;II;ph;Ryan is ill. *That’s why* he can’t come.;;"[('that', 'DT'), (""'s"", 'VBZ'), ('why', 'WRB')]";"['that', ""'s"", 'why']"
1629;the Underground (BE, no pl);U-Bahn;aktiv;3/C2;II;s;Let’s take *the Underground*. It’s faster than the bus.;;[('the', 'DT'), ('Underground', 'NNP'), ('(', '('), ('BE', 'NNP'), (',', ','), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['the', 'Underground', '(', 'BE', ',', 'no', 'pl', ')']
1630;road;Straße;aktiv;3/C2;II;s;;ID 4038693;[('road', 'NN')];['road']
1631;sign;Zeichen, (Straßen-/Verkehrs)schild;aktiv;3/C2;II;s;;ID 4145485;[('sign', 'NN')];['sign']
1632;past;an ... vorbei, hinter, nach;aktiv;3/C2;II;pr;Walk *past* the hotel.;;[('past', 'NN')];['past']
1633;huge;riesig, riesengroß;aktiv;3/C2;II;a;;;[('huge', 'JJ')];['huge']
1634;queue;Schlange, Reihe;passiv;3/C2;II;s;;;[('queue', 'NN')];['queue']
1635;along;entlang;aktiv;3/C2;II;pr;Walk *along* the road.;;[('along', 'IN')];['along']
1636;to turn right/left;rechts/links abbiegen;aktiv;3/C2;II;ph;*Turn left /right* at the hotel.;;[('to', 'TO'), ('turn', 'VB'), ('right/left', 'NN')];['to', 'turn', 'right/left']
1637;to walk straight on;immer geradeaus weiterlaufen;aktiv;3/C2;II;ph;*Walk straight on*.;;[('to', 'TO'), ('walk', 'VB'), ('straight', 'NN'), ('on', 'IN')];['to', 'walk', 'straight', 'on']
1638;to walk on;weiterlaufen;aktiv;3/C2;II;ph;;;[('to', 'TO'), ('walk', 'VB'), ('on', 'IN')];['to', 'walk', 'on']
1639;just;hier: gerade;passiv;3/C2;II;av;;;[('just', 'RB')];['just']
1640;to cross;überqueren;aktiv;3/C2;II;v;*Cross* the main street when you see a big, red building.;;[('to', 'TO'), ('cross', 'VB')];['to', 'cross']
1641;main;Haupt-;aktiv;3/C2;II;a;Cross the *main* street when you see a big, red building.;;[('main', 'JJ')];['main']
1642;it says;darauf steht;passiv;3/C2;II;ph;;;[('it', 'PRP'), ('says', 'VBZ')];['it', 'say']
1643;directions (pl);Anweisungen, Instruktionen, hier: Wegbeschreibung;passiv;3/C2;II;s;;;[('directions', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['direction', '(', 'pl', ')']
1644;church;Kirche;aktiv;3/C3;II;s;;ID 4780168;[('church', 'NN')];['church']
1645;hospital;Krankenhaus;aktiv;3/C3;II;s;Olivia’s dad is in *hospital*. He’s very ill.;;[('hospital', 'NN')];['hospital']
1646;university;Universität(s-);aktiv;3/C3;II;s/a;;;[('university', 'NN')];['university']
1647;till (= until);bis;aktiv;3/C3;II;k;Walk on *until* you see a big, green building.;;[('till', 'NN'), ('(', '('), ('=', 'NNP'), ('until', 'IN'), (')', ')')];['till', '(', '=', 'until', ')']
1648;to describe;beschreiben;aktiv;3/C5;II;v;;;[('to', 'TO'), ('describe', 'VB')];['to', 'describe']
1649;which;der/die/das;aktiv;3/C5;II;p;This is the house *which* my parents bought in 1995.;;[('which', 'WDT')];['which']
1650;to belong to sb;jdm gehören;aktiv;3/C5;II;v;This isn’t my car. It *belongs to* my sister.;;[('to', 'TO'), ('belong', 'VB'), ('to', 'TO'), ('sb', 'VB')];['to', 'belong', 'to', 'sb']
1651;Sir;engl. Adelstitel;passiv;3/C5;II;s;;;[('Sir', 'NNP')];['Sir']
1652;writer;Verfasser/in, Autor/in;aktiv;3/C5;II;s;Charles Dickens was a famous *writer*.;;[('writer', 'NN')];['writer']
1653;who;der/die/das;aktiv;3/C5;II;p;Sir Arthur Conan Doyle is the writer *who* created Sherlock Holmes.;;[('who', 'WP')];['who']
1654;to create;erschaffen;passiv;3/C5;II;v;Sir Arthur Conan Doyle is the writer who created Sherlock Holmes.;;[('to', 'TO'), ('create', 'VB')];['to', 'create']
1655;to star in a film/play;in einem Film/Theaterstück die Hauptrolle spielen;passiv;3/C5;II;ph;;;[('to', 'TO'), ('star', 'VB'), ('in', 'IN'), ('a', 'DT'), ('film/play', 'NN')];['to', 'star', 'in', 'a', 'film/play']
1656;to look around;sich umsehen;aktiv;3/C5;II;v;*Look around*. What can you see?;;[('to', 'TO'), ('look', 'VB'), ('around', 'RP')];['to', 'look', 'around']
1657;narrow;eng, schmal;aktiv;3/C5;II;a;;;[('narrow', 'NN')];['narrow']
1658;light;Licht, Lichtquelle, Lampe;aktiv;3/C5;II;s;The *light* went out. It was dark.;;[('light', 'NN')];['light']
1659;strong;stark, kräftig, fest;aktiv;3/C5;II;a;He’s very *strong*.;ID 4754619;[('strong', 'JJ')];['strong']
1660;gaslight;Gaslampe;passiv;3/C5;II;s;;;[('gaslight', 'NN')];['gaslight']
1661;century;Jahrhundert;aktiv;3/C5;II;s;a *century* = 100 years;;[('century', 'NN')];['century']
1662;study;Arbeitszimmer;passiv;3/C5;II;s;;;[('study', 'NN')];['study']
1663;medical bag;Arztkoffer;passiv;3/C5;II;s;;;[('medical', 'JJ'), ('bag', 'NN')];['medical', 'bag']
1664;bedroom;Schlafzimmer;aktiv;3/C5;II;s;I sleep in my *bedroom*.;;[('bedroom', 'NN')];['bedroom']
1665;criminal;Verbrecher/in;passiv;3/C5;II;s;;;[('criminal', 'JJ')];['criminal']
1666;upstairs;(nach) oben;passiv;3/C5;II;av;;;[('upstairs', 'NNS')];['upstairs']
1667;head;Kopf;aktiv;3/C5;II;s;;;[('head', 'NN')];['head']
1668;to shoot sb;jdn anschießen, jdn erschießen;passiv;3/C5;II;ph;;;[('to', 'TO'), ('shoot', 'VB'), ('sb', 'NN')];['to', 'shoot', 'sb']
1669;weapon;Waffe;passiv;3/C5;II;s;;;[('weapon', 'NN')];['weapon']
1670;horrible;schrecklich;aktiv;3/C5;II;a;*horrible* = terrible;;[('horrible', 'JJ')];['horrible']
1671;poor;arm;aktiv;3/C5;II;a;Oh, *poor* Socks! She looks cold.;;[('poor', 'JJ')];['poor']
1672;trapdoor;Falltür;passiv;3/C5;II;s;;;[('trapdoor', 'NN')];['trapdoor']
1673;it says so;es steht da;passiv;3/C5;II;ph;;;[('it', 'PRP'), ('says', 'VBZ'), ('so', 'RB')];['it', 'say', 'so']
1674;to have a look;nachsehen, nachschauen;aktiv;3/C5;II;ph;I need a T-shirt. Let’s *have a look* in the shop.;;[('to', 'TO'), ('have', 'VB'), ('a', 'DT'), ('look', 'NN')];['to', 'have', 'a', 'look']
1675;to get home;nach Hause kommen;passiv;3/C5;II;ph;;;[('to', 'TO'), ('get', 'VB'), ('home', 'NN')];['to', 'get', 'home']
1676;gallery;Galerie;passiv;3/C5;II;s;;;[('gallery', 'NN')];['gallery']
1677;actor;Schauspieler;aktiv;3/C5;II;s;Brad Pitt and George Clooney are famous *actors*.;;[('actor', 'NN')];['actor']
1678;guidebook;Reiseführer;passiv;3/C8;II;s;;;[('guidebook', 'NN')];['guidebook']
1679;area;Gebiet, Region, Gegend;aktiv;3/C8;II;s;What *area* of London do you live in?;;[('area', 'NN')];['area']
1680;paragraph;Absatz, Abschnitt;passiv;3/C8;II;s;;;[('paragraph', 'NN')];['paragraph']
1681;to hate to do sth;äußerst ungern tun;aktiv;4/A1;II;ph;;;[('to', 'TO'), ('hate', 'VB'), ('to', 'TO'), ('do', 'VB'), ('sth', 'VB')];['to', 'hate', 'to', 'do', 'sth']
1682;jumble sale (BE);Flohmarkt, Wohltätigkeitsbasar;passiv;4/A1;II;s;;;[('jumble', 'JJ'), ('sale', 'NN'), ('(', '('), ('BE', 'NNP'), (')', ')')];['jumble', 'sale', '(', 'BE', ')']
1683;fundraising;Geldbeschaffung, Wohltätigkeits-/Benefiz-;passiv;4/A1;II;s/a;;;[('fundraising', 'VBG')];['fundraising']
1684;toy;Spielzeug(-);aktiv;4/A1;II;s/a;Caroline collects *toy* elephants.;;[('toy', 'NN')];['toy']
1685;be able to do sth;etw tun können;aktiv;4/A1;II;ph;I’m ill. I*’m not able to* go to school.;;[('be', 'VB'), ('able', 'JJ'), ('to', 'TO'), ('do', 'VB'), ('sth', 'VB')];['be', 'able', 'to', 'do', 'sth']
1686;department;Institut, Abteilung;passiv;4/A1;II;s;;;[('department', 'NN')];['department']
1687;to contact sb;sich mit jdm in Verbindung setzen;passiv;4/A1;II;ph;;;[('to', 'TO'), ('contact', 'VB'), ('sb', 'NN')];['to', 'contact', 'sb']
1688;pre-;Vor-;passiv;4/A1;II;;;;[('pre-', 'NN')];['pre-']
1689;concert;Konzert;aktiv;4/A1;II;s;The band played for three hours. It was a great *concert*!;;[('concert', 'NN')];['concert']
1690;to leave for;gehen nach, hier: gehen auf;passiv;4/A1;II;irr;;;[('to', 'TO'), ('leave', 'VB'), ('for', 'IN')];['to', 'leave', 'for']
1691;choir;Chor;passiv;4/A1;II;s;;;[('choir', 'NN')];['choir']
1692;symphony orchestra;Sinfonieorchester;passiv;4/A1;II;s;;;[('symphony', 'NN'), ('orchestra', 'NN')];['symphony', 'orchestra']
1693;selection;Auswahl;passiv;4/A1;II;s;;;[('selection', 'NN')];['selection']
1694;popular;beliebt, populär;aktiv;4/A1;II;a;Football is the most *popular* sport in England.;;[('popular', 'JJ')];['popular']
1695;main hall;Hauptsaal;passiv;4/A1;II;s;;;[('main', 'JJ'), ('hall', 'NN')];['main', 'hall']
1696;included;inklusive;passiv;4/A1;II;a;;;[('included', 'VBD')];['included']
1697;drink;Getränk;aktiv;4/A1;II;s;*drink* ↔ food;;[('drink', 'NN')];['drink']
1698;prize;(Sieg)preis, Gewinn;passiv;4/A1;II;s;;;[('prize', 'NN')];['prize']
1699;winning team;Siegermannschaft;passiv;4/A1;II;s;;;[('winning', 'VBG'), ('team', 'NN')];['winning', 'team']
1700;to include;beinhalten, hier: aufnehmen;aktiv;4/A2;II;v;;;[('to', 'TO'), ('include', 'VB')];['to', 'include']
1701;age;Alter;aktiv;4/A2;II;s;What *age* are you? – I’m twelve years old.;;[('age', 'NN')];['age']
1702;article;Artikel;passiv;4/A3;II;s;;;[('article', 'NN')];['article']
1703;praise (no pl);Lob;passiv;4/A3;II;s;;;[('praise', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['praise', '(', 'no', 'pl', ')']
1704;to praise;loben;passiv;4/A3;II;v;;;[('to', 'TO'), ('praise', 'VB')];['to', 'praise']
1705;success (no pl);Erfolg;aktiv;4/A3;II;s;Everybody is cheering. The show is a real *success*.;;[('success', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['success', '(', 'no', 'pl', ')']
1706;to perform;vorführen, aufführen, hier: auftreten;aktiv;4/A3;II;v;The pupils *performed* in the assembly hall.;;[('to', 'TO'), ('perform', 'VB')];['to', 'perform']
1707;across;über, hier: in ganz;passiv;4/A3;II;pr;;;[('across', 'IN')];['across']
1708;reward;Belohnung, Anerkennung;passiv;4/A3;II;s;;;[('reward', 'NN')];['reward']
1709;hard;hart, schwer, schwierig, fest, kräftig;aktiv;4/A3;II;a/av;All the pupils worked *hard* for the exam.;;[('hard', 'JJ')];['hard']
1710;year;Jahr, hier: (Schul-)Jahrgang;aktiv;4/A3;II;s;Every pupil in *Year* 8 can take part in the school project.;;[('year', 'NN')];['year']
1711;to represent sb/sth;jdn/etw repräsentieren, jdn vertreten;passiv;4/A3;II;v;;;[('to', 'TO'), ('represent', 'VB'), ('sb/sth', 'NN')];['to', 'represent', 'sb/sth']
1712;company;Firma, hier: Truppe, Ensemble;passiv;4/A3;II;s;;;[('company', 'NN')];['company']
1713;half (pl halves);Hälfte;passiv;4/A3;II;s;;;[('half', 'NN'), ('(', '('), ('pl', 'JJ'), ('halves', 'NNS'), (')', ')')];['half', '(', 'pl', 'half', ')']
1714;piece;Stück;passiv;4/A3;II;s;;;[('piece', 'NN')];['piece']
1715;act;(Show)nummer;passiv;4/A3;II;s;;;[('act', 'NN')];['act']
1716;to receive;erhalten, bekommen;aktiv;4/A3;II;v;*Have* you *received* my email?;;[('to', 'TO'), ('receive', 'VB')];['to', 'receive']
1717;never-ending;endlos, unaufhörlich;passiv;4/A3;II;a;;;[('never-ending', 'NN')];['never-ending']
1718;applause (no pl);Applaus, Beifall;passiv;4/A3;II;s;;;[('applause', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['applause', '(', 'no', 'pl', ')']
1719;stage;Bühne;aktiv;4/A3;II;s;All of Year 7 were on the *stage* and performed a fantastic show.;;[('stage', 'NN')];['stage']
1720;brilliant (BE, informal);hier: toll, klasse;aktiv;4/A3;II;a;The girls looked *brilliant* in their costumes.;;[('brilliant', 'NN'), ('(', '('), ('BE', 'NNP'), (',', ','), ('informal', 'JJ'), (')', ')')];['brilliant', '(', 'BE', ',', 'informal', ')']
1721;excellent;ausgezeichnet;aktiv;4/A3;II;a;He’s very good at playing the guitar. He’s an *excellent* musician.;;[('excellent', 'NN')];['excellent']
1722;audience;Publikum, Besucher, Zuschauer;aktiv;4/A3;II;s;After the concert, the *audience* cheered for ten minutes.;;[('audience', 'NN')];['audience']
1723;title;Titel;aktiv;4/A5;II;s;What’s the *title* of your favourite book?;;[('title', 'NN')];['title']
1724;introduction;Vorstellung, hier: Einleitung;passiv;4/A5;II;s;;;[('introduction', 'NN')];['introduction']
1725;detail;Detail, Einzelheit;aktiv;4/A5;II;s;;ID 3671290;[('detail', 'NN')];['detail']
1726;to comment (on);kommentieren;aktiv;4/A5;II;v;;;[('to', 'TO'), ('comment', 'VB'), ('(', '('), ('on', 'IN'), (')', ')')];['to', 'comment', '(', 'on', ')']
1727;ending;Ende, Schluss;passiv;4/A5;II;s;;;[('ending', 'VBG')];['ending']
1728;positive;positiv;passiv;4/A5;II;a;;;[('positive', 'JJ')];['positive']
1729;talent;Talent, Begabung;passiv;4/B;II;s;;;[('talent', 'NN')];['talent']
1730;totally;völlig, total;passiv;4/B1;II;av;;;[('totally', 'RB')];['totally']
1731;audition;Vorsprechen, Vorsingen, Vorspielen;passiv;4/B1;II;s;;;[('audition', 'NN')];['audition']
1732;Ms;Fr., Frau (Alternativbezeichnung zu Mrs und Miss, die sowohl für verheiratete wie unverheiratete Frauen zutrifft);passiv;4/B1;II;s;;;[('Ms', 'NN')];['Ms']
1733;to ask;fragen, hier: bitten;passiv;4/B1;II;v;;;[('to', 'TO'), ('ask', 'VB')];['to', 'ask']
1734;play;Spiel, hier: (Theater)stück;aktiv;4/B1;II;s;The actors performed a fantastic *play*.;;[('play', 'NN')];['play']
1735;comedy;Komödie;passiv;4/B1;II;s;;;[('comedy', 'NN')];['comedy']
1736;for a while;eine ganze Weile, hier: schon länger;passiv;4/B1;II;ph;;;[('for', 'IN'), ('a', 'DT'), ('while', 'NN')];['for', 'a', 'while']
1737;for;für, hier: seit;aktiv;4/B1;II;pr;;;[('for', 'IN')];['for']
1738;ages (pl, informal);eine Ewigkeit, Ewigkeiten;passiv;4/B1;II;s;;;[('ages', 'NNS'), ('(', '('), ('pl', 'NN'), (',', ','), ('informal', 'NN'), (')', ')')];['age', '(', 'pl', ',', 'informal', ')']
1739;silly;Dussel, Dummerchen;passiv;4/B1;II;s;;;[('silly', 'RB')];['silly']
1740;classic;Klassiker;passiv;4/B1;II;s;;;[('classic', 'JJ')];['classic']
1741;by;von;aktiv;4/B1;II;pr;_Romeo and Juliet_ is a play *by* William Shakespeare.;;[('by', 'IN')];['by']
1742;to do research;(er)forschen, recherchieren;aktiv;4/B1;II;ph;They *did* some *research* on the Internet for their project.;;[('to', 'TO'), ('do', 'VB'), ('research', 'NN')];['to', 'do', 'research']
1743;invasion;Invasion, Eindringen;passiv;4/B1;II;s;;;[('invasion', 'NN')];['invasion']
1744;let me see;Moment (mal), also;passiv;4/B1;II;ph;;;[('let', 'VB'), ('me', 'PRP'), ('see', 'VB')];['let', 'me', 'see']
1745;proper;echt, richtig;aktiv;4/B1;II;a;Karen always starts the day with a *proper* breakfast.;;[('proper', 'NN')];['proper']
1746;to suggest;vorschlagen;aktiv;4/B1;II;v;;;[('to', 'TO'), ('suggest', 'VB')];['to', 'suggest']
1747;since;seit;aktiv;4/B1;II;pr;;;[('since', 'IN')];['since']
1748;ago;vor;aktiv;4/B1;II;av;They moved to London two years *ago*.;;[('ago', 'RB')];['ago']
1749;girly;mädchenhaft;passiv;4/B1;II;a;;;[('girly', 'RB')];['girly']
1750;stuff (no pl, informal);Zeug, Sachen;passiv;4/B1;II;s;;;[('stuff', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (',', ','), ('informal', 'NN'), (')', ')')];['stuff', '(', 'no', 'pl', ',', 'informal', ')']
1751;twilight;Dämmerung, Zwielicht;passiv;4/B1;II;s;;;[('twilight', 'NN')];['twilight']
1752;vampire;Vampir/in;aktiv;4/B1;II;s;;ID 4780159;[('vampire', 'NN')];['vampire']
1753;to persuade;überreden, überzeugen;aktiv;4/B1;II;v;We couldn’t *persuade* him to change his mind.;;[('to', 'TO'), ('persuade', 'VB')];['to', 'persuade']
1754;for how long;wie lange (schon);passiv;4/B4;II;ph;;;[('for', 'IN'), ('how', 'WRB'), ('long', 'JJ')];['for', 'how', 'long']
1755;to dream (of);träumen (von);passiv;4/B4;II;irr;;;[('to', 'TO'), ('dream', 'VB'), ('(', '('), ('of', 'IN'), (')', ')')];['to', 'dream', '(', 'of', ')']
1756;argument;Auseinandersetzung, Argument;aktiv;4/B5;II;s;Caroline and George had an *argument* about their party.;;[('argument', 'NN')];['argument']
1757;to copy;abschreiben, niederschreiben, hier: kopieren;aktiv;4/B8;II;v;John always *copies* Anne’s maths homework.;;[('to', 'TO'), ('copy', 'VB')];['to', 'copy']
1758;script;Drehbuch, Skript, Regiebuch;passiv;4/B8;II;s;;;[('script', 'NN')];['script']
1759;secretary;Sekretär/in;passiv;4/B8;II;s;;;[('secretary', 'NN')];['secretary']
1760;assembly hall;(Versammlungs)saal, Aula;passiv;4/B8;II;s;;;[('assembly', 'RB'), ('hall', 'NN')];['assembly', 'hall']
1761;text message;SMS;aktiv;4/B9;II;s;Steve is writing a *text message*.;ID 4771169;[('text', 'JJ'), ('message', 'NN')];['text', 'message']
1762;melody;Melodie;aktiv;4/B10;II;s;This song has a nice *melody* and great lyrics.;;[('melody', 'NN')];['melody']
1763;lyrics (pl);(Lied)text;aktiv;4/B10;II;s;This song has a nice melody and great *lyrics*.;;[('lyrics', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['lyric', '(', 'pl', ')']
1764;slow;langsam;aktiv;4/B10;II;a;*slow* ↔ fast;;[('slow', 'VB')];['slow']
1765;cheerful;fröhlich, vergnügt, heiter;aktiv;4/B10;II;a;;;[('cheerful', 'NN')];['cheerful']
1766;eerie;unheimlich;aktiv;4/B11;II;a;She was scared because there was an *eerie* noise.;;[('eerie', 'NN')];['eerie']
1767;to creep;kriechen, steigen;passiv;4/B11;II;irr;;;[('to', 'TO'), ('creep', 'VB')];['to', 'creep']
1768;basement;Untergeschoss, Keller;aktiv;4/B11;II;s;;;[('basement', 'NN')];['basement']
1769;to lurk;lauern, sich verborgen halten;passiv;4/B11;II;v;;;[('to', 'TO'), ('lurk', 'VB')];['to', 'lurk']
1770;shadow;Schatten;aktiv;4/B11;II;s;;ID 4780152;[('shadow', 'NN')];['shadow']
1771;to give sb a scare;jdm einen Schreck einjagen;passiv;4/B11;II;ph;;;[('to', 'TO'), ('give', 'VB'), ('sb', 'NN'), ('a', 'DT'), ('scare', 'NN')];['to', 'give', 'sb', 'a', 'scare']
1772;such;so;aktiv;4/B11;II;av;;ID 1394779;[('such', 'JJ')];['such']
1773;ghostly;geisterhaft;passiv;4/B11;II;a;;;[('ghostly', 'RB')];['ghostly']
1774;skin (no pl);Haut;aktiv;4/B11;II;s;Her skin was very *red* because of the sun.;ID 4780153;[('skin', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['skin', '(', 'no', 'pl', ')']
1775;pointy;spitz;passiv;4/B11;II;a;;;[('pointy', 'NN')];['pointy']
1776;to bite;beißen;aktiv;4/B11;II;irr;Yesterday a dog *bit* me.;;[('to', 'TO'), ('bite', 'VB')];['to', 'bite']
1777;to hang out with sb;Zeit mit jdm verbringen;passiv;4/B11;II;ph;;;[('to', 'TO'), ('hang', 'VB'), ('out', 'RP'), ('with', 'IN'), ('sb', 'NN')];['to', 'hang', 'out', 'with', 'sb']
1778;at all;überhaupt;aktiv;4/B11;II;ph;Do you like dancing? – No. Not *at all*.;;[('at', 'IN'), ('all', 'DT')];['at', 'all']
1779;verse;Strophe;aktiv;4/B11;II;s;The first *verse* of the song is the best.;;[('verse', 'NN')];['verse']
1780;singer;Sänger/in;aktiv;4/B12;II;s;My favourite *singer* is Adele.;;[('singer', 'NN')];['singer']
1781;profile;Profil, Porträt;passiv;4/B12;II;s;;;[('profile', 'NN')];['profile']
1782;leading role;Hauptrolle;passiv;4/C1;II;s;;;[('leading', 'JJ'), ('role', 'NN')];['leading', 'role']
1783;convincing;überzeugend;aktiv;4/C1;II;a;Dan was very *convincing*. Everybody believed him.;;[('convincing', 'NN')];['convincing']
1784;just;genau;passiv;4/C1;II;av;;;[('just', 'RB')];['just']
1785;directions (pl);Anweisungen, Instruktionen;passiv;4/C1;II;s;;;[('directions', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['direction', '(', 'pl', ')']
1786;actress;Schauspielerin;aktiv;4/C1;II;s;Angelina Jolie is Katy’s favourite *actress*.;;[('actress', 'NN')];['actress']
1787;admiring;bewundernd;passiv;4/C1;II;a;;;[('admiring', 'VBG')];['admiring']
