Id;Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;Tagged;Lemma;SentId
1692;symphony orchestra;Sinfonieorchester;passiv;4/A1;II;s;;;[('symphony', 'NN'), ('orchestra', 'NN')];['symphony', 'orchestra'];None
1693;selection;Auswahl;passiv;4/A1;II;s;;;[('selection', 'NN')];['selection'];None
1694;popular;beliebt, populär;aktiv;4/A1;II;a;Football is the most *popular* sport in England.;;[('popular', 'JJ')];['popular'];None
1695;main hall;Hauptsaal;passiv;4/A1;II;s;;;[('main', 'JJ'), ('hall', 'NN')];['main', 'hall'];None
1696;included;inklusive;passiv;4/A1;II;a;;;[('included', 'VBD')];['included'];None
1697;drink;Getränk;aktiv;4/A1;II;s;*drink* ↔ food;;[('drink', 'NN')];['drink'];None
1698;prize;(Sieg)preis, Gewinn;passiv;4/A1;II;s;;;[('prize', 'NN')];['prize'];None
1699;winning team;Siegermannschaft;passiv;4/A1;II;s;;;[('winning', 'VBG'), ('team', 'NN')];['winning', 'team'];None
1700;to include;beinhalten, hier: aufnehmen;aktiv;4/A2;II;v;;;[('to', 'TO'), ('include', 'VB')];['to', 'include'];None
1701;age;Alter;aktiv;4/A2;II;s;What *age* are you? – I’m twelve years old.;;[('age', 'NN')];['age'];None
1702;article;Artikel;passiv;4/A3;II;s;;;[('article', 'NN')];['article'];['1299']
1703;praise (no pl);Lob;passiv;4/A3;II;s;;;[('praise', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['praise', '(', 'no', 'pl', ')'];None
1704;to praise;loben;passiv;4/A3;II;v;;;[('to', 'TO'), ('praise', 'VB')];['to', 'praise'];None
1705;success (no pl);Erfolg;aktiv;4/A3;II;s;Everybody is cheering. The show is a real *success*.;;[('success', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['success', '(', 'no', 'pl', ')'];['1301']
1706;to perform;vorführen, aufführen, hier: auftreten;aktiv;4/A3;II;v;The pupils *performed* in the assembly hall.;;[('to', 'TO'), ('perform', 'VB')];['to', 'perform'];None
1707;across;über, hier: in ganz;passiv;4/A3;II;pr;;;[('across', 'IN')];['across'];None
1708;reward;Belohnung, Anerkennung;passiv;4/A3;II;s;;;[('reward', 'NN')];['reward'];None
1709;hard;hart, schwer, schwierig, fest, kräftig;aktiv;4/A3;II;a/av;All the pupils worked *hard* for the exam.;;[('hard', 'JJ')];['hard'];None
1710;year;Jahr, hier: (Schul-)Jahrgang;aktiv;4/A3;II;s;Every pupil in *Year* 8 can take part in the school project.;;[('year', 'NN')];['year'];None
1711;to represent sb/sth;jdn/etw repräsentieren, jdn vertreten;passiv;4/A3;II;v;;;[('to', 'TO'), ('represent', 'VB'), ('sb/sth', 'NN')];['to', 'represent', 'sb/sth'];None
1712;company;Firma, hier: Truppe, Ensemble;passiv;4/A3;II;s;;;[('company', 'NN')];['company'];None
1713;half (pl halves);Hälfte;passiv;4/A3;II;s;;;[('half', 'NN'), ('(', '('), ('pl', 'JJ'), ('halves', 'NNS'), (')', ')')];['half', '(', 'pl', 'half', ')'];None
1714;piece;Stück;passiv;4/A3;II;s;;;[('piece', 'NN')];['piece'];['1305']
1715;act;(Show)nummer;passiv;4/A3;II;s;;;[('act', 'NN')];['act'];None
1716;to receive;erhalten, bekommen;aktiv;4/A3;II;v;*Have* you *received* my email?;;[('to', 'TO'), ('receive', 'VB')];['to', 'receive'];None
1717;never-ending;endlos, unaufhörlich;passiv;4/A3;II;a;;;[('never-ending', 'NN')];['never-ending'];None
1718;applause (no pl);Applaus, Beifall;passiv;4/A3;II;s;;;[('applause', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['applause', '(', 'no', 'pl', ')'];['1304']
1719;stage;Bühne;aktiv;4/A3;II;s;All of Year 7 were on the *stage* and performed a fantastic show.;;[('stage', 'NN')];['stage'];['1305']
1720;brilliant (BE, informal);hier: toll, klasse;aktiv;4/A3;II;a;The girls looked *brilliant* in their costumes.;;[('brilliant', 'NN'), ('(', '('), ('BE', 'NNP'), (',', ','), ('informal', 'JJ'), (')', ')')];['brilliant', '(', 'BE', ',', 'informal', ')'];None
1721;excellent;ausgezeichnet;aktiv;4/A3;II;a;He’s very good at playing the guitar. He’s an *excellent* musician.;;[('excellent', 'NN')];['excellent'];['1303']
1722;audience;Publikum, Besucher, Zuschauer;aktiv;4/A3;II;s;After the concert, the *audience* cheered for ten minutes.;;[('audience', 'NN')];['audience'];None
1723;title;Titel;aktiv;4/A5;II;s;What’s the *title* of your favourite book?;;[('title', 'NN')];['title'];None
1724;introduction;Vorstellung, hier: Einleitung;passiv;4/A5;II;s;;;[('introduction', 'NN')];['introduction'];None
1725;detail;Detail, Einzelheit;aktiv;4/A5;II;s;;ID 3671290;[('detail', 'NN')];['detail'];None
1726;to comment (on);kommentieren;aktiv;4/A5;II;v;;;[('to', 'TO'), ('comment', 'VB'), ('(', '('), ('on', 'IN'), (')', ')')];['to', 'comment', '(', 'on', ')'];None
1727;ending;Ende, Schluss;passiv;4/A5;II;s;;;[('ending', 'VBG')];['ending'];['1304']
1728;positive;positiv;passiv;4/A5;II;a;;;[('positive', 'JJ')];['positive'];None
1729;talent;Talent, Begabung;passiv;4/B;II;s;;;[('talent', 'NN')];['talent'];None
1730;totally;völlig, total;passiv;4/B1;II;av;;;[('totally', 'RB')];['totally'];None
1731;audition;Vorsprechen, Vorsingen, Vorspielen;passiv;4/B1;II;s;;;[('audition', 'NN')];['audition'];['1316']
1732;Ms;Fr., Frau (Alternativbezeichnung zu Mrs und Miss, die sowohl für verheiratete wie unverheiratete Frauen zutrifft);passiv;4/B1;II;s;;;[('Ms', 'NN')];['Ms'];['1332', '1338', '1339', '1341']
1733;to ask;fragen, hier: bitten;passiv;4/B1;II;v;;;[('to', 'TO'), ('ask', 'VB')];['to', 'ask'];['1332']
1734;play;Spiel, hier: (Theater)stück;aktiv;4/B1;II;s;The actors performed a fantastic *play*.;;[('play', 'NN')];['play'];['1328', '1339']
1735;comedy;Komödie;passiv;4/B1;II;s;;;[('comedy', 'NN')];['comedy'];None
1736;for a while;eine ganze Weile, hier: schon länger;passiv;4/B1;II;ph;;;[('for', 'IN'), ('a', 'DT'), ('while', 'NN')];['for', 'a', 'while'];None
1737;for;für, hier: seit;aktiv;4/B1;II;pr;;;[('for', 'IN')];['for'];['1330', '1350']
1738;ages (pl, informal);eine Ewigkeit, Ewigkeiten;passiv;4/B1;II;s;;;[('ages', 'NNS'), ('(', '('), ('pl', 'NN'), (',', ','), ('informal', 'NN'), (')', ')')];['age', '(', 'pl', ',', 'informal', ')'];None
1739;silly;Dussel, Dummerchen;passiv;4/B1;II;s;;;[('silly', 'RB')];['silly'];None
1740;classic;Klassiker;passiv;4/B1;II;s;;;[('classic', 'JJ')];['classic'];None
1741;by;von;aktiv;4/B1;II;pr;_Romeo and Juliet_ is a play *by* William Shakespeare.;;[('by', 'IN')];['by'];None
1742;to do research;(er)forschen, recherchieren;aktiv;4/B1;II;ph;They *did* some *research* on the Internet for their project.;;[('to', 'TO'), ('do', 'VB'), ('research', 'NN')];['to', 'do', 'research'];None
1743;invasion;Invasion, Eindringen;passiv;4/B1;II;s;;;[('invasion', 'NN')];['invasion'];None
1744;let me see;Moment (mal), also;passiv;4/B1;II;ph;;;[('let', 'VB'), ('me', 'PRP'), ('see', 'VB')];['let', 'me', 'see'];None
1745;proper;echt, richtig;aktiv;4/B1;II;a;Karen always starts the day with a *proper* breakfast.;;[('proper', 'NN')];['proper'];['1308']
1746;to suggest;vorschlagen;aktiv;4/B1;II;v;;;[('to', 'TO'), ('suggest', 'VB')];['to', 'suggest'];['1310']
1747;since;seit;aktiv;4/B1;II;pr;;;[('since', 'IN')];['since'];['1312']
1748;ago;vor;aktiv;4/B1;II;av;They moved to London two years *ago*.;;[('ago', 'RB')];['ago'];['1313']
1749;girly;mädchenhaft;passiv;4/B1;II;a;;;[('girly', 'RB')];['girly'];['1318']
1750;stuff (no pl, informal);Zeug, Sachen;passiv;4/B1;II;s;;;[('stuff', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (',', ','), ('informal', 'NN'), (')', ')')];['stuff', '(', 'no', 'pl', ',', 'informal', ')'];None
1751;twilight;Dämmerung, Zwielicht;passiv;4/B1;II;s;;;[('twilight', 'NN')];['twilight'];None
1752;vampire;Vampir/in;aktiv;4/B1;II;s;;ID 4780159;[('vampire', 'NN')];['vampire'];['1339', '1343', '1347']
1753;to persuade;überreden, überzeugen;aktiv;4/B1;II;v;We couldn’t *persuade* him to change his mind.;;[('to', 'TO'), ('persuade', 'VB')];['to', 'persuade'];['1340']
1754;for how long;wie lange (schon);passiv;4/B4;II;ph;;;[('for', 'IN'), ('how', 'WRB'), ('long', 'JJ')];['for', 'how', 'long'];None
1755;to dream (of);träumen (von);passiv;4/B4;II;irr;;;[('to', 'TO'), ('dream', 'VB'), ('(', '('), ('of', 'IN'), (')', ')')];['to', 'dream', '(', 'of', ')'];None
1756;argument;Auseinandersetzung, Argument;aktiv;4/B5;II;s;Caroline and George had an *argument* about their party.;;[('argument', 'NN')];['argument'];None
1757;to copy;abschreiben, niederschreiben, hier: kopieren;aktiv;4/B8;II;v;John always *copies* Anne’s maths homework.;;[('to', 'TO'), ('copy', 'VB')];['to', 'copy'];None
1758;script;Drehbuch, Skript, Regiebuch;passiv;4/B8;II;s;;;[('script', 'NN')];['script'];None
1759;secretary;Sekretär/in;passiv;4/B8;II;s;;;[('secretary', 'NN')];['secretary'];None
1760;assembly hall;(Versammlungs)saal, Aula;passiv;4/B8;II;s;;;[('assembly', 'RB'), ('hall', 'NN')];['assembly', 'hall'];None
1761;text message;SMS;aktiv;4/B9;II;s;Steve is writing a *text message*.;ID 4771169;[('text', 'JJ'), ('message', 'NN')];['text', 'message'];None
1762;melody;Melodie;aktiv;4/B10;II;s;This song has a nice *melody* and great lyrics.;;[('melody', 'NN')];['melody'];None
1763;lyrics (pl);(Lied)text;aktiv;4/B10;II;s;This song has a nice melody and great *lyrics*.;;[('lyrics', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['lyric', '(', 'pl', ')'];None
1764;slow;langsam;aktiv;4/B10;II;a;*slow* ↔ fast;;[('slow', 'VB')];['slow'];None
1765;cheerful;fröhlich, vergnügt, heiter;aktiv;4/B10;II;a;;;[('cheerful', 'NN')];['cheerful'];None
1766;eerie;unheimlich;aktiv;4/B11;II;a;She was scared because there was an *eerie* noise.;;[('eerie', 'NN')];['eerie'];None
1767;to creep;kriechen, steigen;passiv;4/B11;II;irr;;;[('to', 'TO'), ('creep', 'VB')];['to', 'creep'];None
1768;basement;Untergeschoss, Keller;aktiv;4/B11;II;s;;;[('basement', 'NN')];['basement'];None
1769;to lurk;lauern, sich verborgen halten;passiv;4/B11;II;v;;;[('to', 'TO'), ('lurk', 'VB')];['to', 'lurk'];None
1770;shadow;Schatten;aktiv;4/B11;II;s;;ID 4780152;[('shadow', 'NN')];['shadow'];None
1771;to give sb a scare;jdm einen Schreck einjagen;passiv;4/B11;II;ph;;;[('to', 'TO'), ('give', 'VB'), ('sb', 'NN'), ('a', 'DT'), ('scare', 'NN')];['to', 'give', 'sb', 'a', 'scare'];None
1772;such;so;aktiv;4/B11;II;av;;ID 1394779;[('such', 'JJ')];['such'];None
1773;ghostly;geisterhaft;passiv;4/B11;II;a;;;[('ghostly', 'RB')];['ghostly'];None
1774;skin (no pl);Haut;aktiv;4/B11;II;s;Her skin was very *red* because of the sun.;ID 4780153;[('skin', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['skin', '(', 'no', 'pl', ')'];None
1775;pointy;spitz;passiv;4/B11;II;a;;;[('pointy', 'NN')];['pointy'];None
1776;to bite;beißen;aktiv;4/B11;II;irr;Yesterday a dog *bit* me.;;[('to', 'TO'), ('bite', 'VB')];['to', 'bite'];None
1777;to hang out with sb;Zeit mit jdm verbringen;passiv;4/B11;II;ph;;;[('to', 'TO'), ('hang', 'VB'), ('out', 'RP'), ('with', 'IN'), ('sb', 'NN')];['to', 'hang', 'out', 'with', 'sb'];None
1778;at all;überhaupt;aktiv;4/B11;II;ph;Do you like dancing? – No. Not *at all*.;;[('at', 'IN'), ('all', 'DT')];['at', 'all'];None
1779;verse;Strophe;aktiv;4/B11;II;s;The first *verse* of the song is the best.;;[('verse', 'NN')];['verse'];None
1780;singer;Sänger/in;aktiv;4/B12;II;s;My favourite *singer* is Adele.;;[('singer', 'NN')];['singer'];None
1781;profile;Profil, Porträt;passiv;4/B12;II;s;;;[('profile', 'NN')];['profile'];None
1782;leading role;Hauptrolle;passiv;4/C1;II;s;;;[('leading', 'JJ'), ('role', 'NN')];['leading', 'role'];['1370']
1783;convincing;überzeugend;aktiv;4/C1;II;a;Dan was very *convincing*. Everybody believed him.;;[('convincing', 'NN')];['convincing'];None
1784;just;genau;passiv;4/C1;II;av;;;[('just', 'RB')];['just'];['1367', '1370', '1376', '1381']
1785;directions (pl);Anweisungen, Instruktionen;passiv;4/C1;II;s;;;[('directions', 'NNS'), ('(', '('), ('pl', 'NN'), (')', ')')];['direction', '(', 'pl', ')'];None
1786;actress;Schauspielerin;aktiv;4/C1;II;s;Angelina Jolie is Katy’s favourite *actress*.;;[('actress', 'NN')];['actress'];None
1787;admiring;bewundernd;passiv;4/C1;II;a;;;[('admiring', 'VBG')];['admiring'];None
1788;to roll one's eyes;die Augen verdrehen;passiv;4/C1;II;ph;;;"[('to', 'TO'), ('roll', 'VB'), ('one', 'CD'), (""'s"", 'POS'), ('eyes', 'NNS')]";"['to', 'roll', 'one', ""'s"", 'eye']";None
1789;to pull a face;das Gesicht verziehen;passiv;4/C1;II;v;;;[('to', 'TO'), ('pull', 'VB'), ('a', 'DT'), ('face', 'NN')];['to', 'pull', 'a', 'face'];None
1790;kind;nett, freundlich, liebenswürdig;aktiv;4/C1;II;a;Billy was very *kind*. He helped the old lady.;;[('kind', 'NN')];['kind'];None
1791;forever;ewig, ständig;aktiv;4/C1;II;av;He said, “I will love you *forever*.”;;[('forever', 'RB')];['forever'];None
1792;Miss (BE);hier: Frau Lehrerin (Anrede);passiv;4/C1;II;;;;[('Miss', 'NNP'), ('(', '('), ('BE', 'NNP'), (')', ')')];['Miss', '(', 'BE', ')'];None
1793;to whisper;flüstern;aktiv;4/C1;II;v;to *whisper* ↔ to shout;;[('to', 'TO'), ('whisper', 'VB')];['to', 'whisper'];None
1794;What's wrong?;Was ist los?;passiv;4/C1;II;ph;;;"[('What', 'WP'), (""'s"", 'VBZ'), ('wrong', 'JJ'), ('?', '.')]";"['What', ""'s"", 'wrong', '?']";None
1795;outside;außen, außerhalb, hier: nach draußen;aktiv;4/C1;II;av;*outside* ↔ inside;;[('outside', 'IN')];['outside'];None
1796;to muck sth up (informal);etw vermasseln;passiv;4/C1;II;ph;;;[('to', 'TO'), ('muck', 'VB'), ('sth', 'VB'), ('up', 'RP'), ('(', '('), ('informal', 'JJ'), (')', ')')];['to', 'muck', 'sth', 'up', '(', 'informal', ')'];None
1797;to smile (at);(an)lächeln;aktiv;4/C1;II;ph;;;[('to', 'TO'), ('smile', 'VB'), ('(', '('), ('at', 'IN'), (')', ')')];['to', 'smile', '(', 'at', ')'];None
1798;arrogant;arrogant;aktiv;4/C1;II;a;Matt is very *arrogant*. He always thinks he is the best.;;[('arrogant', 'JJ')];['arrogant'];None
1799;emotion;Gefühl, Emotion;aktiv;4/C1;II;s;;;[('emotion', 'NN')];['emotion'];None
1800;to clap;klatschen;passiv;4/C1;II;v;;;[('to', 'TO'), ('clap', 'VB')];['to', 'clap'];None
1801;to give sb the thumbs down;jemandem den Daumen nach unten zeigen;passiv;4/C1;II;ph;;;[('to', 'TO'), ('give', 'VB'), ('sb', 'VB'), ('the', 'DT'), ('thumbs', 'NNS'), ('down', 'RP')];['to', 'give', 'sb', 'the', 'thumb', 'down'];None
1802;back;Rücken, Rückseite;aktiv;4/C1;II;s;Jo hit Sam behind the teacher’s *back*.;;[('back', 'RB')];['back'];None
1803;to stammer;stottern, stammeln;passiv;4/C1;II;v;;;[('to', 'TO'), ('stammer', 'VB')];['to', 'stammer'];None
1804;quietly;leise, still;passiv;4/C2;II;av;;;[('quietly', 'RB')];['quietly'];['1357']
1805;twice;zweimal;passiv;4/C2;II;av;;;[('twice', 'RB')];['twice'];None
1806;to remember;sich erinnern, hier: daran denken;aktiv;4/C2;II;v;Please *remember* to buy milk.;;[('to', 'TO'), ('remember', 'VB')];['to', 'remember'];None
1807;competition;Wettbewerb;aktiv;4/C2;II;s;The Olympics is a big sports *competition*.;;[('competition', 'NN')];['competition'];None
1808;spelling (no pl);Rechtschreibung, hier: Schreibweise;passiv;4/C3;II;s;;;[('spelling', 'VBG'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['spelling', '(', 'no', 'pl', ')'];None
1809;card;Karte;passiv;4/C4;II;s;;;[('card', 'NN')];['card'];None
1810;to smile;lächeln;aktiv;4/C4;II;v;;;[('to', 'TO'), ('smile', 'VB')];['to', 'smile'];None
1811;to move;(sich) bewegen;aktiv;4/C4;II;v;The boat *is moving* very slowly.;;[('to', 'TO'), ('move', 'VB')];['to', 'move'];None
1812;pile;Stapel, Haufen;passiv;4/C4;II;s;;;[('pile', 'NN')];['pile'];None
1813;to turn sth upside down;etw auf den Kopf stellen, hier: umdrehen;passiv;4/C4;II;ph;;;[('to', 'TO'), ('turn', 'VB'), ('sth', 'JJ'), ('upside', 'RB'), ('down', 'RB')];['to', 'turn', 'sth', 'upside', 'down'];None
1814;player;Spieler/in;passiv;4/C4;II;s;;;[('player', 'NN')];['player'];None
1815;to trick sb out (of sth);jdn (um etw) betrügen;passiv;4/C5;II;ph;;;[('to', 'TO'), ('trick', 'VB'), ('sb', 'NN'), ('out', 'IN'), ('(', '('), ('of', 'IN'), ('sth', 'NN'), (')', ')')];['to', 'trick', 'sb', 'out', '(', 'of', 'sth', ')'];None
1816;to tell a sob story (informal);mit einer Mitleid heischenden Ausrede daherkommen;passiv;4/C5;II;ph;;;[('to', 'TO'), ('tell', 'VB'), ('a', 'DT'), ('sob', 'JJ'), ('story', 'NN'), ('(', '('), ('informal', 'JJ'), (')', ')')];['to', 'tell', 'a', 'sob', 'story', '(', 'informal', ')'];None
1817;prompter;Souffleur/Souffleuse (jd, der den Text flüsternd vorspricht);passiv;4/C5;II;s;;;[('prompter', 'NN')];['prompter'];['1371', '1388']
1818;drama group;Theatergruppe, Schauspielgruppe;passiv;4/C5;II;s;;;[('drama', 'NN'), ('group', 'NN')];['drama', 'group'];['1373', '1407']
1819;at least;mindestens, wenigstens, hier: zumindest;aktiv;4/C5;II;ph;It’s cold. *At least* it isn’t raining.;;[('at', 'IN'), ('least', 'JJS')];['at', 'least'];None
1820;to ruin;zerstören, verderben, kaputtmachen;passiv;4/C5;II;v;;;[('to', 'TO'), ('ruin', 'VB')];['to', 'ruin'];['1377']
1821;gloomy;trostlos, düster, hier: betrübt;passiv;4/C5;II;a;;;[('gloomy', 'NN')];['gloomy'];['1378']
1822;first night;Premiere;passiv;4/C5;II;s;;;[('first', 'RB'), ('night', 'NN')];['first', 'night'];['1382']
1823;nightmare;Albtraum;aktiv;4/C5;II;s;The first night was a *nightmare*. Everything went wrong.;;[('nightmare', 'NN')];['nightmare'];['1382']
1824;that;so;passiv;4/C5;II;av;;;[('that', 'IN')];['that'];['1372', '1383', '1397']
1825;everyone else;jede/r andere;passiv;4/C5;II;p;;;[('everyone', 'NN'), ('else', 'RB')];['everyone', 'else'];None
1826;someone else;jemand anders;passiv;4/C5;II;p;;;[('someone', 'NN'), ('else', 'RB')];['someone', 'else'];None
1827;tense;angespannt;passiv;4/C5;II;a;;;[('tense', 'NN')];['tense'];['1398']
1828;to be around;in der Nähe sein;passiv;4/C5;II;ph;;;[('to', 'TO'), ('be', 'VB'), ('around', 'IN')];['to', 'be', 'around'];None
1829;to be fed up with sb/sth (informal);jdn/etw satthaben;passiv;4/C5;II;ph;;;[('to', 'TO'), ('be', 'VB'), ('fed', 'VBN'), ('up', 'RP'), ('with', 'IN'), ('sb/sth', 'NN'), ('(', '('), ('informal', 'JJ'), (')', ')')];['to', 'be', 'fed', 'up', 'with', 'sb/sth', '(', 'informal', ')'];None
1830;to pretend;vorgeben, vortäuschen;aktiv;4/C5;II;v;Lara isn’t asleep. She*'s* only *pretending* to be asleep.;1389812;[('to', 'TO'), ('pretend', 'VB')];['to', 'pretend'];None
1831;sweetly;süß(lich);passiv;4/C5;II;av;;;[('sweetly', 'RB')];['sweetly'];['1405']
1832;microphone;Mikrofon;aktiv;4/C5;II;s;;;[('microphone', 'NN')];['microphone'];['1407']
1833;to lose;verlieren;passiv;4/C5;II;irr;;;[('to', 'TO'), ('lose', 'VB')];['to', 'lose'];None
1834;voice;Stimme;aktiv;4/C5;II;s;Lynn can’t speak. She has lost her *voice*.;;[('voice', 'NN')];['voice'];['1406']
1835;to postpone;verschieben;passiv;4/C5;II;v;;;[('to', 'TO'), ('postpone', 'VB')];['to', 'postpone'];['1409']
1836;choice;Wahl;passiv;4/C6;II;s;;;[('choice', 'NN')];['choice'];None
1837;to keep cool;ruhig bleiben, cool bleiben;passiv;4/C6;II;ph;;;[('to', 'TO'), ('keep', 'VB'), ('cool', 'NN')];['to', 'keep', 'cool'];None
1838;loser;Verlierer/in;aktiv;4/C6;II;s;*loser* ↔ winner;;[('loser', 'NN')];['loser'];None
1839;to take over;übernehmen;passiv;4/C7;II;irr;;;[('to', 'TO'), ('take', 'VB'), ('over', 'RP')];['to', 'take', 'over'];None
1840;boo!;buh!;passiv;4/C9;II;i;;;[('boo', 'NN'), ('!', '.')];['boo', '!'];None
1841;the one;der-/die-/dasjenige;aktiv;4/C9;II;ph;Read the stories. Then choose *the one* you like best.;;[('the', 'DT'), ('one', 'NN')];['the', 'one'];None
1842;Going green;sich immer umweltbewusster verhalten;passiv;5/A;II;ph;;;[('Going', 'VBG'), ('green', 'JJ')];['Going', 'green'];None
1843;mill;Mühle;passiv;5/A;II;s;;;[('mill', 'NN')];['mill'];None
1844;to divide into;(auf)teilen in;passiv;5/A2;II;ph;;;[('to', 'TO'), ('divide', 'VB'), ('into', 'IN')];['to', 'divide', 'into'];None
1845;report;(Zeitungs-)Bericht, (Zeitungs-)Meldung;aktiv;5/A2;II;s;Did you read the *report* about Sports Day?;;[('report', 'NN')];['report'];None
1846;fashion;Mode;passiv;5/A2;II;s;;;[('fashion', 'NN')];['fashion'];None
1847;to save;retten, schützen, (be)wahren;aktiv;5/A2;II;v;We should *save* the environment for our children and grandchildren.;;[('to', 'TO'), ('save', 'VB')];['to', 'save'];['1416']
1848;environment (no pl);Umwelt;aktiv;5/A2;II;s;We should save the *environment* for our children and grandchildren.;;[('environment', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['environment', '(', 'no', 'pl', ')'];None
1849;planet;Planet;aktiv;5/A2;II;s;our *planet*;ID 1395875;[('planet', 'NN')];['planet'];None
1850;plastic;Plastik(-), Kunststoff(-);aktiv;5/A2;II;s/a;;;[('plastic', 'NN')];['plastic'];None
1851;handprint;Handabdruck;passiv;5/A2;II;s;;;[('handprint', 'NN')];['handprint'];None
1852;to make a pledge;geloben;passiv;5/A2;II;ph;;;[('to', 'TO'), ('make', 'VB'), ('a', 'DT'), ('pledge', 'NN')];['to', 'make', 'a', 'pledge'];None
1853;solar;Solar-, Sonnen-;passiv;5/A2;II;a;;;[('solar', 'NN')];['solar'];None
1854;energy (no pl);Energie, Kraft;aktiv;5/A2;II;s;It’s good for the environment to use solar *energy*.;;[('energy', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['energy', '(', 'no', 'pl', ')'];None
1855;to donate;spenden;passiv;5/A2;II;v;;;[('to', 'TO'), ('donate', 'VB')];['to', 'donate'];None
1856;solar panel;Sonnenkollektor;passiv;5/A2;II;s;;;[('solar', 'JJ'), ('panel', 'NN')];['solar', 'panel'];None
1857;to take a step;einen Schritt machen;passiv;5/A2;II;ph;;;[('to', 'TO'), ('take', 'VB'), ('a', 'DT'), ('step', 'NN')];['to', 'take', 'a', 'step'];None
1858;magic (no pl);Magie, Zauber;passiv;5/A2;II;s;;;[('magic', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['magic', '(', 'no', 'pl', ')'];['1428']
1859;motorway (BE);Autobahn;passiv;5/A2;II;s;;;[('motorway', 'NN'), ('(', '('), ('BE', 'NNP'), (')', ')')];['motorway', '(', 'BE', ')'];['1422']
1860;another;noch eine(r, s), hier: ein(e) andere(r);aktiv;5/A2;II;a;Have you got *another* pencil?;;[('another', 'DT')];['another'];['1422']
1861;field study;Feldstudie (systematische wiss. Beobachtung außerhalb des Labors);passiv;5/A2;II;s;;;[('field', 'NN'), ('study', 'NN')];['field', 'study'];None
1862;forest;Wald;aktiv;5/A2;II;s;;ID 4780146;[('forest', 'NN')];['forest'];None
1863;walk;Spaziergang;passiv;5/A2;II;s;;;[('walk', 'NN')];['walk'];['1423']
1864;biology (no pl);Biologie;aktiv;5/A2;II;s;;;[('biology', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['biology', '(', 'no', 'pl', ')'];['1423']
1865;exercise;Übung, Aufgabe;passiv;5/A2;II;s;;;[('exercise', 'NN')];['exercise'];None
1866;to turn out;sich herausstellen;passiv;5/A2;II;ph;;;[('to', 'TO'), ('turn', 'VB'), ('out', 'RP')];['to', 'turn', 'out'];None
1867;stay;Aufenthalt;passiv;5/A2;II;s;;;[('stay', 'NN')];['stay'];None
1868;combination;Kombination, Verbindung;passiv;5/A2;II;s;;;[('combination', 'NN')];['combination'];None
1869;fieldwork;Feldarbeit, Feldforschung;passiv;5/A2;II;s;;;[('fieldwork', 'NN')];['fieldwork'];None
1870;to study;studieren, sich befassen mit, erforschen;aktiv;5/A2;II;v;Let’s *study* the wildlife here to find out more about animals and plants.;;[('to', 'TO'), ('study', 'VB')];['to', 'study'];None
1871;wildlife (no pl);die (natürliche) Tier- und Pflanzenwelt;passiv;5/A2;II;s;;;[('wildlife', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['wildlife', '(', 'no', 'pl', ')'];None
1872;plant;Pflanze;aktiv;5/A2;II;s;A flower is a *plant*.;;[('plant', 'NN')];['plant'];None
1873;entertainment;Unterhaltung;aktiv;5/A2;II;s;There’s a lot of *entertainment*: football, games and other activities.;;[('entertainment', 'NN')];['entertainment'];['1425']
1874;nearby;in der Nähe gelegen, nahe gelegen;passiv;5/A2;II;av;;;[('nearby', 'RB')];['nearby'];['1425']
1875;magic;magisch, zauberhaft, wundervoll;aktiv;5/A2;II;a;;ID 1394769;[('magic', 'NN')];['magic'];['1428']
1876;traffic (no pl);Verkehr;aktiv;5/A2;II;s;There’s a lot of *traffic* in the morning.;ID 4771165;[('traffic', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['traffic', '(', 'no', 'pl', ')'];['1428']
1877;Take notes.;Mach dir Notizen.;passiv;5/A3;II;ph;;;[('Take', 'VB'), ('notes', 'NNS'), ('.', '.')];['Take', 'note', '.'];None
1878;to take notes;(sich) Notizen machen;aktiv;5/A3;II;ph;Listen and *take notes*.;;[('to', 'TO'), ('take', 'VB'), ('notes', 'NNS')];['to', 'take', 'note'];None
1879;headline;Schlagzeile;aktiv;5/A4;II;s;*headline* = title;;[('headline', 'NN')];['headline'];None
1880;entertaining;unterhaltsam;aktiv;5/A4;II;a;*entertaining* ↔ boring;;[('entertaining', 'VBG')];['entertaining'];None
